,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-sX_tYTVOLA,5,0,1,19.0,21.0,263.0,350.0,0,0.8211343288421631
1,-sX_tYTVOLA,5,0,2,18.0,17.0,264.0,351.0,0,0.7976759076118469
2,-sX_tYTVOLA,5,0,2,222.0,144.0,480.0,355.0,19,0.7311747670173645
3,-sX_tYTVOLA,5,0,3,233.0,135.0,480.0,355.0,19,0.8113886713981628
4,-sX_tYTVOLA,5,0,3,21.0,11.0,263.0,348.0,0,0.707070529460907
5,-sX_tYTVOLA,5,0,4,4.0,22.0,229.0,350.0,0,0.9138870239257812
6,-sX_tYTVOLA,5,0,4,241.0,143.0,480.0,357.0,21,0.7239065170288086
7,-sX_tYTVOLA,5,0,5,9.0,10.0,249.0,357.0,0,0.8762571811676025
8,-sX_tYTVOLA,5,0,5,329.0,81.0,480.0,353.0,21,0.7169185280799866
9,-sX_tYTVOLA,5,0,6,2.0,10.0,233.0,357.0,0,0.8742706775665283
10,-sX_tYTVOLA,5,0,6,316.0,137.0,480.0,359.0,21,0.6577818393707275
11,-sX_tYTVOLA,5,0,7,8.0,23.0,283.0,351.0,0,0.7538512945175171
12,-sX_tYTVOLA,5,0,7,259.0,135.0,479.0,354.0,19,0.6029966473579407
13,-sX_tYTVOLA,5,0,8,1.0,6.0,213.0,352.0,0,0.8953730463981628
14,-sX_tYTVOLA,5,0,8,267.0,119.0,477.0,354.0,21,0.7618443965911865
15,-sX_tYTVOLA,5,0,9,2.0,6.0,228.0,355.0,0,0.8875462412834167
16,-sX_tYTVOLA,5,0,9,288.0,102.0,479.0,359.0,21,0.7836683392524719
17,-sX_tYTVOLA,5,0,10,0.0,2.0,175.0,353.0,0,0.8934053778648376
18,-sX_tYTVOLA,5,0,10,199.0,71.0,480.0,354.0,21,0.571914553642273
19,-sX_tYTVOLA,5,0,11,3.0,6.0,220.0,354.0,0,0.7658803462982178
20,-sX_tYTVOLA,5,0,12,19.0,14.0,241.0,353.0,0,0.8962017297744751
21,-sX_tYTVOLA,5,0,12,232.0,147.0,480.0,357.0,19,0.47616395354270935
22,-sX_tYTVOLA,5,0,13,14.0,24.0,243.0,354.0,0,0.8356968760490417
