,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,3f-VZ1vz-is,19,0,1,258.0,178.0,474.0,275.0,16,0.6141312718391418
1,3f-VZ1vz-is,19,0,2,253.0,178.0,475.0,275.0,16,0.5241634845733643
2,3f-VZ1vz-is,19,0,2,253.0,178.0,475.0,275.0,14,0.45372864603996277
3,3f-VZ1vz-is,19,0,3,236.0,129.0,409.0,243.0,16,0.4235648214817047
4,3f-VZ1vz-is,19,0,5,324.0,50.0,509.0,175.0,16,0.44871294498443604
5,3f-VZ1vz-is,19,0,6,0.0,220.0,201.0,357.0,0,0.7493350505828857
6,3f-VZ1vz-is,19,0,6,442.0,105.0,632.0,204.0,16,0.5550710558891296
7,3f-VZ1vz-is,19,0,6,119.0,143.0,234.0,181.0,5,0.4354161024093628
8,3f-VZ1vz-is,19,1,5,112.0,74.0,373.0,320.0,19,0.41233617067337036
9,3f-VZ1vz-is,19,1,8,300.0,103.0,490.0,271.0,0,0.5156970024108887
10,3f-VZ1vz-is,19,1,11,180.0,30.0,437.0,249.0,16,0.4741376042366028
