,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-Ddfs2Vl4W0,11,0,3,435.0,1.0,518.0,89.0,3,0.5421782732009888
1,-Ddfs2Vl4W0,11,0,7,261.0,34.0,293.0,81.0,3,0.5835472345352173
2,-Ddfs2Vl4W0,11,0,7,262.0,7.0,294.0,74.0,0,0.5179487466812134
3,-Ddfs2Vl4W0,11,0,8,287.0,18.0,318.0,71.0,3,0.4719696640968323
4,-Ddfs2Vl4W0,11,0,9,262.0,5.0,290.0,63.0,0,0.4910711944103241
5,-Ddfs2Vl4W0,11,0,9,262.0,28.0,290.0,65.0,3,0.48634299635887146
6,-Ddfs2Vl4W0,11,0,10,276.0,9.0,307.0,72.0,0,0.5811227560043335
7,-Ddfs2Vl4W0,11,0,10,221.0,27.0,233.0,36.0,2,0.45604947209358215
8,-Ddfs2Vl4W0,11,0,11,201.0,22.0,213.0,33.0,2,0.46486300230026245
9,-Ddfs2Vl4W0,11,0,12,173.0,19.0,190.0,35.0,2,0.7609222531318665
10,-Ddfs2Vl4W0,11,0,12,238.0,29.0,277.0,80.0,3,0.5283555388450623
11,-Ddfs2Vl4W0,11,0,12,229.0,3.0,259.0,49.0,0,0.4997429847717285
12,-Ddfs2Vl4W0,11,0,19,252.0,26.0,310.0,108.0,3,0.4693022072315216
13,-Ddfs2Vl4W0,11,0,19,227.0,0.0,307.0,83.0,0,0.4445425271987915
