,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-f0JLwuyuTM,0,0,1,302.0,234.0,387.0,359.0,0,0.7088097333908081
1,-f0JLwuyuTM,0,0,1,136.0,237.0,193.0,346.0,0,0.6445243954658508
2,-f0JLwuyuTM,0,0,1,270.0,225.0,307.0,291.0,0,0.6313920617103577
3,-f0JLwuyuTM,0,0,1,363.0,199.0,475.0,356.0,0,0.6075568199157715
4,-f0JLwuyuTM,0,0,1,206.0,246.0,243.0,303.0,0,0.5740368962287903
5,-f0JLwuyuTM,0,0,1,98.0,273.0,185.0,359.0,0,0.5711473822593689
6,-f0JLwuyuTM,0,0,1,1.0,268.0,83.0,359.0,0,0.5035095810890198
7,-f0JLwuyuTM,0,0,1,26.0,229.0,104.0,356.0,0,0.48239684104919434
8,-f0JLwuyuTM,0,0,2,299.0,236.0,391.0,359.0,0,0.7433751225471497
9,-f0JLwuyuTM,0,0,2,363.0,198.0,473.0,356.0,0,0.6869506239891052
10,-f0JLwuyuTM,0,0,2,136.0,238.0,195.0,348.0,0,0.6465883255004883
11,-f0JLwuyuTM,0,0,2,269.0,226.0,307.0,290.0,0,0.6390597224235535
12,-f0JLwuyuTM,0,0,2,98.0,273.0,188.0,359.0,0,0.6027452945709229
13,-f0JLwuyuTM,0,0,2,205.0,241.0,304.0,357.0,0,0.59251868724823
14,-f0JLwuyuTM,0,0,2,207.0,246.0,243.0,302.0,0,0.49669820070266724
15,-f0JLwuyuTM,0,0,2,0.0,265.0,81.0,359.0,0,0.4669656455516815
16,-f0JLwuyuTM,0,0,2,46.0,227.0,103.0,354.0,0,0.43963631987571716
17,-f0JLwuyuTM,0,0,3,123.0,256.0,232.0,357.0,0,0.7907618284225464
18,-f0JLwuyuTM,0,0,3,7.0,252.0,119.0,358.0,0,0.7607633471488953
19,-f0JLwuyuTM,0,0,3,251.0,226.0,340.0,357.0,0,0.7018110752105713
20,-f0JLwuyuTM,0,0,3,332.0,219.0,423.0,357.0,0,0.5843453407287598
21,-f0JLwuyuTM,0,0,3,174.0,227.0,223.0,320.0,0,0.4894489645957947
22,-f0JLwuyuTM,0,0,3,66.0,217.0,136.0,321.0,0,0.45102187991142273
23,-f0JLwuyuTM,0,0,3,391.0,183.0,480.0,357.0,0,0.44859620928764343
24,-f0JLwuyuTM,0,0,4,19.0,227.0,135.0,359.0,0,0.7765394449234009
25,-f0JLwuyuTM,0,0,4,0.0,255.0,34.0,359.0,0,0.7500953674316406
26,-f0JLwuyuTM,0,0,4,310.0,199.0,457.0,359.0,0,0.7409912943840027
27,-f0JLwuyuTM,0,0,4,408.0,169.0,480.0,346.0,0,0.7301123738288879
28,-f0JLwuyuTM,0,0,4,312.0,199.0,351.0,260.0,0,0.6975706815719604
29,-f0JLwuyuTM,0,0,4,136.0,240.0,217.0,359.0,0,0.6342290639877319
30,-f0JLwuyuTM,0,0,4,81.0,201.0,151.0,343.0,0,0.5785641074180603
31,-f0JLwuyuTM,0,0,4,252.0,212.0,343.0,357.0,0,0.4689277708530426
32,-f0JLwuyuTM,0,0,5,144.0,239.0,266.0,359.0,0,0.8159375786781311
33,-f0JLwuyuTM,0,0,5,307.0,229.0,468.0,360.0,0,0.7858539819717407
34,-f0JLwuyuTM,0,0,5,32.0,229.0,135.0,359.0,0,0.7398301959037781
35,-f0JLwuyuTM,0,0,5,379.0,195.0,472.0,352.0,0,0.7312611937522888
36,-f0JLwuyuTM,0,0,5,253.0,216.0,340.0,358.0,0,0.6558816432952881
37,-f0JLwuyuTM,0,0,5,93.0,233.0,155.0,358.0,0,0.5930323600769043
38,-f0JLwuyuTM,0,0,5,0.0,259.0,49.0,359.0,0,0.5646522045135498
39,-f0JLwuyuTM,0,0,5,434.0,156.0,480.0,342.0,0,0.5638539791107178
40,-f0JLwuyuTM,0,0,5,123.0,198.0,174.0,305.0,0,0.46378567814826965
41,-f0JLwuyuTM,0,0,5,330.0,193.0,372.0,247.0,0,0.4530245363712311
42,-f0JLwuyuTM,0,0,5,276.0,216.0,303.0,269.0,0,0.4448027014732361
43,-f0JLwuyuTM,0,0,6,132.0,246.0,244.0,358.0,0,0.8494393825531006
44,-f0JLwuyuTM,0,0,6,411.0,173.0,480.0,355.0,0,0.7646169066429138
45,-f0JLwuyuTM,0,0,6,298.0,234.0,446.0,359.0,0,0.6891207098960876
46,-f0JLwuyuTM,0,0,6,14.0,229.0,121.0,359.0,0,0.6671647429466248
47,-f0JLwuyuTM,0,0,6,235.0,211.0,327.0,358.0,0,0.6495292782783508
48,-f0JLwuyuTM,0,0,6,77.0,241.0,139.0,358.0,0,0.6143374443054199
49,-f0JLwuyuTM,0,0,6,363.0,206.0,447.0,357.0,0,0.5955191254615784
50,-f0JLwuyuTM,0,0,6,182.0,214.0,239.0,308.0,0,0.5321029424667358
51,-f0JLwuyuTM,0,0,6,237.0,206.0,281.0,277.0,0,0.4838010370731354
52,-f0JLwuyuTM,0,0,6,0.0,265.0,35.0,360.0,0,0.4013445973396301
53,-f0JLwuyuTM,0,0,7,141.0,235.0,233.0,360.0,0,0.8256648778915405
54,-f0JLwuyuTM,0,0,7,288.0,224.0,457.0,360.0,0,0.8208313584327698
55,-f0JLwuyuTM,0,0,7,388.0,198.0,472.0,352.0,0,0.739960789680481
56,-f0JLwuyuTM,0,0,7,3.0,233.0,135.0,358.0,0,0.735032320022583
57,-f0JLwuyuTM,0,0,7,188.0,201.0,281.0,358.0,0,0.6963545680046082
58,-f0JLwuyuTM,0,0,7,93.0,230.0,149.0,358.0,0,0.632111132144928
59,-f0JLwuyuTM,0,0,7,257.0,190.0,299.0,268.0,0,0.5887157320976257
60,-f0JLwuyuTM,0,0,7,0.0,255.0,49.0,358.0,0,0.5588671565055847
61,-f0JLwuyuTM,0,0,7,235.0,190.0,265.0,241.0,0,0.5188884735107422
62,-f0JLwuyuTM,0,0,7,333.0,189.0,383.0,236.0,0,0.49874991178512573
63,-f0JLwuyuTM,0,0,7,253.0,210.0,334.0,357.0,0,0.44469502568244934
64,-f0JLwuyuTM,0,0,8,154.0,230.0,262.0,360.0,0,0.8249619603157043
65,-f0JLwuyuTM,0,0,8,40.0,229.0,145.0,358.0,0,0.8120259642601013
66,-f0JLwuyuTM,0,0,8,304.0,216.0,477.0,359.0,0,0.7972863912582397
67,-f0JLwuyuTM,0,0,8,0.0,253.0,57.0,358.0,0,0.7718572020530701
68,-f0JLwuyuTM,0,0,8,393.0,195.0,472.0,343.0,0,0.6846728324890137
69,-f0JLwuyuTM,0,0,8,200.0,200.0,265.0,350.0,0,0.5831112265586853
70,-f0JLwuyuTM,0,0,8,249.0,197.0,349.0,359.0,0,0.5695582628250122
