,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0tXSiTggmLA,15,0,1,160.0,64.0,214.0,172.0,0,0.6786205768585205
1,0tXSiTggmLA,15,0,1,7.0,10.0,460.0,355.0,6,0.6417155861854553
2,0tXSiTggmLA,15,0,2,150.0,66.0,214.0,174.0,0,0.6571241617202759
3,0tXSiTggmLA,15,0,2,0.0,0.0,476.0,353.0,6,0.6275986433029175
4,0tXSiTggmLA,15,0,3,1.0,0.0,475.0,350.0,6,0.7221925854682922
5,0tXSiTggmLA,15,0,3,184.0,76.0,238.0,179.0,0,0.5166716575622559
6,0tXSiTggmLA,15,0,4,200.0,75.0,256.0,183.0,0,0.814607560634613
7,0tXSiTggmLA,15,0,4,6.0,2.0,477.0,351.0,6,0.5909954309463501
8,0tXSiTggmLA,15,0,5,197.0,75.0,255.0,180.0,0,0.7496242523193359
9,0tXSiTggmLA,15,0,5,6.0,6.0,480.0,357.0,6,0.5874589085578918
10,0tXSiTggmLA,15,0,6,199.0,79.0,254.0,179.0,0,0.7084650993347168
11,0tXSiTggmLA,15,0,6,6.0,8.0,480.0,355.0,6,0.6331377029418945
12,0tXSiTggmLA,15,0,7,197.0,75.0,256.0,180.0,0,0.8131063580513
13,0tXSiTggmLA,15,0,7,9.0,6.0,480.0,355.0,6,0.5055399537086487
14,0tXSiTggmLA,15,0,8,203.0,77.0,265.0,180.0,0,0.8021298050880432
15,0tXSiTggmLA,15,0,8,0.0,9.0,474.0,353.0,6,0.5686280727386475
16,0tXSiTggmLA,15,0,9,198.0,70.0,256.0,177.0,0,0.7165305018424988
17,0tXSiTggmLA,15,0,9,9.0,8.0,476.0,352.0,6,0.546518862247467
18,0tXSiTggmLA,15,0,10,129.0,61.0,191.0,170.0,0,0.6080902814865112
