,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,3mOQ1tpso-c,19,0,1,82.0,15.0,146.0,115.0,16,0.6253821849822998
1,3mOQ1tpso-c,19,0,2,82.0,14.0,146.0,115.0,14,0.5623975992202759
2,3mOQ1tpso-c,19,0,5,211.0,1.0,304.0,123.0,16,0.7538707852363586
3,3mOQ1tpso-c,19,0,8,101.0,28.0,206.0,104.0,14,0.7581092715263367
4,3mOQ1tpso-c,19,0,9,136.0,58.0,202.0,170.0,14,0.6356309652328491
5,3mOQ1tpso-c,19,0,10,53.0,125.0,167.0,215.0,16,0.41183507442474365
6,3mOQ1tpso-c,19,0,11,57.0,51.0,121.0,118.0,18,0.49094098806381226
7,3mOQ1tpso-c,19,0,13,82.0,46.0,179.0,146.0,16,0.43185603618621826
8,3mOQ1tpso-c,19,0,14,46.0,24.0,185.0,121.0,19,0.49487683176994324
9,3mOQ1tpso-c,19,0,16,100.0,41.0,162.0,133.0,16,0.5422940254211426
