,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-86Te2-JCeg,11,0,1,126.0,87.0,186.0,204.0,0,0.5567962527275085
1,-86Te2-JCeg,11,0,2,126.0,87.0,184.0,201.0,0,0.7187872529029846
2,-86Te2-JCeg,11,0,3,115.0,53.0,200.0,166.0,0,0.6235105395317078
3,-86Te2-JCeg,11,0,3,119.0,86.0,216.0,233.0,3,0.4925396740436554
4,-86Te2-JCeg,11,0,4,108.0,76.0,129.0,102.0,2,0.5724964141845703
5,-86Te2-JCeg,11,0,4,123.0,0.0,290.0,261.0,0,0.5065168738365173
6,-86Te2-JCeg,11,0,10,101.0,50.0,202.0,150.0,74,0.5490280985832214
7,-86Te2-JCeg,11,0,11,213.0,70.0,245.0,140.0,67,0.4743007719516754
8,-86Te2-JCeg,11,0,12,284.0,107.0,296.0,142.0,0,0.579643189907074
9,-86Te2-JCeg,11,0,14,227.0,72.0,281.0,202.0,0,0.7086610198020935
