,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1ex7Vbb9A3Q,7,0,2,134.0,112.0,247.0,174.0,54,0.5034471154212952
1,1ex7Vbb9A3Q,7,0,10,82.0,15.0,97.0,51.0,39,0.6764107942581177
2,1ex7Vbb9A3Q,7,0,10,78.0,62.0,264.0,184.0,15,0.6702251434326172
3,1ex7Vbb9A3Q,7,0,11,76.0,67.0,264.0,187.0,15,0.7518860101699829
4,1ex7Vbb9A3Q,7,0,11,81.0,16.0,97.0,57.0,39,0.5325826406478882
5,1ex7Vbb9A3Q,7,0,12,73.0,63.0,258.0,188.0,15,0.7512905597686768
6,1ex7Vbb9A3Q,7,0,12,77.0,17.0,93.0,57.0,39,0.5475542545318604
7,1ex7Vbb9A3Q,7,0,13,94.0,50.0,201.0,178.0,15,0.5733348727226257
8,1ex7Vbb9A3Q,7,0,13,62.0,13.0,77.0,49.0,39,0.41011011600494385
9,1ex7Vbb9A3Q,7,0,14,59.0,61.0,199.0,184.0,15,0.6870517730712891
10,1ex7Vbb9A3Q,7,0,14,61.0,14.0,75.0,49.0,39,0.42222562432289124
11,1ex7Vbb9A3Q,7,0,15,53.0,48.0,223.0,176.0,15,0.7840684652328491
12,1ex7Vbb9A3Q,7,0,16,36.0,51.0,263.0,178.0,15,0.6973304152488708
13,1ex7Vbb9A3Q,7,0,16,57.0,15.0,72.0,49.0,39,0.4037456512451172
14,1ex7Vbb9A3Q,7,0,17,8.0,97.0,226.0,226.0,15,0.6108212471008301
15,1ex7Vbb9A3Q,7,0,18,0.0,122.0,136.0,228.0,15,0.7203779220581055
16,1ex7Vbb9A3Q,7,0,19,0.0,67.0,136.0,215.0,15,0.7289003729820251
