,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2mkLTGO_-1Q,19,0,15,154.0,215.0,236.0,356.0,0,0.44072428345680237
1,2mkLTGO_-1Q,19,0,18,85.0,84.0,281.0,256.0,21,0.4350372850894928
2,2mkLTGO_-1Q,19,2,5,223.0,0.0,290.0,84.0,0,0.4585748016834259
3,2mkLTGO_-1Q,19,2,6,199.0,318.0,275.0,359.0,0,0.4438558518886566
4,2mkLTGO_-1Q,19,2,8,138.0,1.0,275.0,69.0,19,0.4678753614425659
5,2mkLTGO_-1Q,19,2,11,124.0,1.0,188.0,119.0,0,0.7109872698783875
6,2mkLTGO_-1Q,19,2,11,180.0,7.0,277.0,121.0,19,0.524085283279419
7,2mkLTGO_-1Q,19,2,12,117.0,0.0,180.0,116.0,0,0.7569084167480469
8,2mkLTGO_-1Q,19,2,12,196.0,1.0,263.0,120.0,0,0.5246984958648682
9,2mkLTGO_-1Q,19,2,12,298.0,307.0,364.0,357.0,0,0.48318737745285034
10,2mkLTGO_-1Q,19,2,12,163.0,0.0,207.0,117.0,0,0.41100120544433594
11,2mkLTGO_-1Q,19,2,13,179.0,6.0,314.0,193.0,16,0.6906052827835083
12,2mkLTGO_-1Q,19,2,13,138.0,2.0,204.0,158.0,0,0.5684599876403809
13,2mkLTGO_-1Q,19,2,14,95.0,20.0,258.0,241.0,16,0.5014441013336182
