,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,4BXIk6QvWWY,7,0,1,390.0,0.0,473.0,77.0,75,0.4158247709274292
1,4BXIk6QvWWY,7,0,2,63.0,1.0,344.0,179.0,15,0.44906628131866455
2,4BXIk6QvWWY,7,0,2,390.0,0.0,474.0,77.0,75,0.43680211901664734
3,4BXIk6QvWWY,7,0,3,87.0,0.0,371.0,219.0,15,0.5970705151557922
4,4BXIk6QvWWY,7,0,4,136.0,0.0,438.0,213.0,15,0.6070606112480164
5,4BXIk6QvWWY,7,0,7,3.0,0.0,345.0,185.0,15,0.45567139983177185
6,4BXIk6QvWWY,7,0,12,313.0,62.0,445.0,125.0,73,0.5326070785522461
7,4BXIk6QvWWY,7,0,12,409.0,0.0,475.0,41.0,73,0.40540674328804016
8,4BXIk6QvWWY,7,0,14,371.0,4.0,443.0,98.0,75,0.4973081648349762
9,4BXIk6QvWWY,7,0,14,332.0,88.0,456.0,165.0,73,0.4381049573421478
10,4BXIk6QvWWY,7,0,15,397.0,3.0,479.0,60.0,73,0.4818969666957855
