,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1h1fkSQENlY,10,0,1,116.0,76.0,388.0,252.0,17,0.7741818428039551
1,1h1fkSQENlY,10,0,2,114.0,80.0,391.0,254.0,17,0.8359361886978149
2,1h1fkSQENlY,10,0,3,138.0,67.0,402.0,252.0,17,0.9033880829811096
3,1h1fkSQENlY,10,0,4,140.0,70.0,414.0,254.0,17,0.8810029625892639
4,1h1fkSQENlY,10,0,5,148.0,69.0,390.0,253.0,17,0.7988927960395813
5,1h1fkSQENlY,10,0,6,180.0,78.0,419.0,254.0,17,0.6184589266777039
6,1h1fkSQENlY,10,0,6,138.0,44.0,170.0,77.0,0,0.5295114517211914
7,1h1fkSQENlY,10,0,8,170.0,75.0,428.0,259.0,17,0.7686054110527039
8,1h1fkSQENlY,10,0,9,109.0,74.0,381.0,240.0,17,0.6538631319999695
9,1h1fkSQENlY,10,0,10,189.0,48.0,294.0,286.0,17,0.41853898763656616
10,1h1fkSQENlY,10,0,12,95.0,85.0,367.0,267.0,17,0.8272285461425781
11,1h1fkSQENlY,10,0,13,118.0,108.0,393.0,273.0,19,0.5800380110740662
12,1h1fkSQENlY,10,0,13,384.0,57.0,405.0,98.0,0,0.5206729173660278
13,1h1fkSQENlY,10,0,14,69.0,59.0,341.0,245.0,17,0.5930039286613464
14,1h1fkSQENlY,10,0,15,126.0,83.0,419.0,259.0,17,0.6779678463935852
